time,G(i)
2025-09-25,563.4227
2025-09-26,475.7482
2025-09-27,526.8082
2025-09-28,686.1182
2025-09-29,544.8318
2025-09-30,424.41
2025-10-01,670.0145
2025-10-02,566.6564
2025-10-03,556.2909
2025-10-04,591.3409
2025-10-05,601.2373
2025-10-06,682.5373
2025-10-07,571.7782
2025-10-08,477.4536
2025-10-09,545.2709
2025-10-10,685.0255
2025-10-11,589.6391
2025-10-12,467.3918
2025-10-13,442.9282
2025-10-14,541.1064
2025-10-15,424.0727
2025-10-16,377.6345
2025-10-17,393.6455
2025-10-18,509.7382
2025-10-19,472.9145
2025-10-20,454.3336
2025-10-21,400.3364
2025-10-22,374.2782
2025-10-23,244.31
2025-10-24,402.91
2025-10-25,425.97
2025-10-26,485.1455
2025-10-27,547.7682
2025-10-28,416.0227
2025-10-29,462.3491
2025-10-30,554.8236
2025-10-31,542.1082
2025-11-01,409.9927
2025-11-02,388.0945
2025-11-03,418.4109
2025-11-04,418.2573
2025-11-05,488.3173
2025-11-06,301.0736
2025-11-07,271.1155
2025-11-08,430.9364
2025-11-09,294.7936
2025-11-10,296.9627
2025-11-11,286.6909
2025-11-12,212.2882
2025-11-13,187.8918
2025-11-14,209.52
2025-11-15,244.7255
2025-11-16,327.9655
2025-11-17,192.5618
2025-11-18,163.1409
2025-11-19,263.5018
2025-11-20,281.3736
2025-11-21,186.7445
2025-11-22,167.9536
2025-11-23,244.5536
2025-11-24,226.05
2025-11-25,325.9927
2025-11-26,124.8073
2025-11-27,302.9627
2025-11-28,248.8518
2025-11-29,148.1027
2025-11-30,223.9945
2025-12-01,186.2309
2025-12-02,206.9809
2025-12-03,241.6873
2025-12-04,195.5755
2025-12-05,259.4545
2025-12-06,173.0255
2025-12-07,193.7109
2025-12-08,179.0755
2025-12-09,117.1309
2025-12-10,199.8964
2025-12-11,201.6873
2025-12-12,174.0364
2025-12-13,218.9418
2025-12-14,98.2564
2025-12-15,181.4545
2025-12-16,134.4145
2025-12-17,251.4636
2025-12-18,167.8627
2025-12-19,194.9118
2025-12-20,221.8464
2025-12-21,296.6273
2025-12-22,318.1218
2025-12-23,187.3482
2025-12-24,243.0964
2025-12-25,260.5655
2025-12-26,228.3182
2025-12-27,280.7564
2025-12-28,282.2055
2025-12-29,198.6364
2025-12-30,296.4291
2025-12-31,253.0364
